,To,Ti_sp,Tn2,Tn4,Tn5,Tn6,Tcor,Φo,Φi,Qa,Φa,Etot
2009-02-06 03:00:00+01:00,0.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 04:00:00+01:00,-0.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 05:00:00+01:00,-1.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 06:00:00+01:00,-1.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 07:00:00+01:00,-2.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 08:00:00+01:00,-2.5,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 09:00:00+01:00,0.7,20,20,20,20,20,20,40.656000000000006,20.79,0.0,105.336,30.8
2009-02-06 10:00:00+01:00,3.7,20,20,20,20,20,20,64.68,33.074999999999996,0.0,167.57999999999998,49.0
2009-02-06 11:00:00+01:00,4.8,20,20,20,20,20,20,76.69200000000001,39.217499999999994,0.0,198.702,58.1
2009-02-06 12:00:00+01:00,7.2,20,20,20,20,20,20,80.388,41.1075,0.0,208.27800000000002,60.900000000000006
2009-02-06 13:00:00+01:00,9.5,20,20,20,20,20,20,81.31200000000001,41.58,0.0,210.672,61.6
2009-02-06 14:00:00+01:00,10.9,20,20,20,20,20,20,76.69200000000001,39.217499999999994,0.0,198.702,58.1
2009-02-06 15:00:00+01:00,12.2,20,20,20,20,20,20,65.60400000000001,33.5475,0.0,169.97400000000002,49.7
2009-02-06 16:00:00+01:00,12.1,20,20,20,20,20,20,48.048,24.569999999999997,0.0,124.488,36.4
2009-02-06 17:00:00+01:00,9.9,20,20,20,20,20,20,22.176000000000002,11.34,0.0,57.456,16.8
2009-02-06 18:00:00+01:00,6.8,20,20,20,20,20,20,2.7720000000000002,1.4175,0.0,7.182,2.1
2009-02-06 19:00:00+01:00,3.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 20:00:00+01:00,2.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 21:00:00+01:00,1.5,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 22:00:00+01:00,0.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 23:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 00:00:00+01:00,0.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 01:00:00+01:00,-1.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 02:00:00+01:00,-1.6,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 03:00:00+01:00,-2.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 04:00:00+01:00,-2.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 05:00:00+01:00,-2.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 06:00:00+01:00,-3.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 07:00:00+01:00,-3.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-07 08:00:00+01:00,-2.9,20,20,20,20,20,20,13.860000000000001,7.0874999999999995,0.0,35.91,10.5
2009-02-07 09:00:00+01:00,0.4,20,20,20,20,20,20,40.656000000000006,20.79,0.0,105.336,30.8
2009-02-07 10:00:00+01:00,3.5,20,20,20,20,20,20,61.908,31.657499999999995,0.0,160.398,46.9
2009-02-07 11:00:00+01:00,4.9,20,20,20,20,20,20,72.072,36.855,0.0,186.732,54.6
2009-02-07 12:00:00+01:00,8.0,20,20,20,20,20,20,77.616,39.68999999999999,0.0,201.09599999999998,58.8
2009-02-07 13:00:00+01:00,10.0,20,20,20,20,20,20,78.54,40.162499999999994,0.0,203.49,59.5
2009-02-07 14:00:00+01:00,12.6,20,20,20,20,20,20,74.84400000000001,38.2725,0.0,193.91400000000002,56.7
2009-02-07 15:00:00+01:00,12.5,20,20,20,20,20,20,66.528,34.019999999999996,0.0,172.368,50.4
2009-02-07 16:00:00+01:00,13.1,20,20,20,20,20,20,49.896,25.514999999999997,0.0,129.27599999999998,37.8
2009-02-07 17:00:00+01:00,10.8,20,20,20,20,20,20,22.176000000000002,11.34,0.0,57.456,16.8
2009-02-07 18:00:00+01:00,7.5,20,20,20,20,20,20,2.7720000000000002,1.4175,0.0,7.182,2.1
